id,title,artist,genre,mood,instrument,theme,occasion,language,era,audience,tempo,summary,youtube_url
kJQP7kiw5Fk,Despacito,Luis Fonsi ft. Daddy Yankee,Reggae,Nostalgic,Guitar,Love and romance,Parties and celebrations,Spanish,2010s,Young adults,89.28571429,"A catchy reggaeton song that blends romantic themes with a nostalgic vibe, popular for its danceability and widespread appeal.",https://www.youtube.com/watch?v=kJQP7kiw5Fk
RgKAFK5djSk,See You Again,Wiz Khalifa ft. Charlie Puth,Pop music,"Nostalgic, Sad","Piano, Guitar","Friendship, Loss, Remembrance","Funeral, Memorial, Reflection",English,,"Fans of Paul Walker, General public",160.71 BPM,"A heartfelt tribute to friendship and loss, reflecting on memories and the pain of separation.",https://www.youtube.com/watch?v=RgKAFK5djSk
JGwWNGJdvx8,Shape of You,Ed Sheeran,Pop music,Upbeat,"Guitar, Synthesizer, Drum",Love and attraction,"Parties, Clubs, Celebrations",English,2010s,"Young adults, Music lovers",130.81 BPM,"A catchy pop song about physical attraction and romantic encounters, celebrated for its infectious rhythm and memorable lyrics.",https://www.youtube.com/watch?v=JGwWNGJdvx8
9bZkp7q19f0,GANGNAM STYLE(강남?��???,PSY,Electronic dance music,,"Synthesizer, Drum machine",,Celebration,Korean,2010s,General public,130.81 BPM,"A global hit that blends catchy electronic beats with humorous and energetic visuals, often associated with dance and celebration.",https://www.youtube.com/watch?v=9bZkp7q19f0
OPf0YbXqDm0,Uptown Funk,Mark Ronson,Funk,Exciting,"Singing, Sampler, Synthesizer, Drum kit, Drum machine, Keyboard",,"Dance, Summer banger",English,2010s,General public,114.8 BPM,"A fun and energetic funk song featuring Bruno Mars, known for its catchy beat and danceable rhythm, often associated with summer vibes and celebrations.",https://www.youtube.com/watch?v=OPf0YbXqDm0
k85mRPqvMbE,Crazy Frog - Axel F,Crazy Frog,Electronic music,Nostalgic,Synthesizer,Childhood memories,,English,2000s,General,137 BPM,"A nostalgic electronic track that evokes childhood memories, characterized by its catchy synth melodies and playful vibe.",https://www.youtube.com/watch?v=k85mRPqvMbE
FzG4uDgje3M,Dame Tu Cosita,El Chombo,Dance music,Nostalgic,Synthesizer,Childhood innocence versus adult understanding,"Parties, Dance events",Spanish,2010s,"Young adults, Nostalgic listeners",148 BPM,"A dance track that evokes nostalgia, reflecting on the contrast between childhood enjoyment and adult comprehension of its lyrics, which have a playful yet suggestive theme.",https://www.youtube.com/watch?v=FzG4uDgje3M
pRpeEdMmmQ0,Waka Waka (This Time for Africa),Shakira,Afrobeat,Celebratory,"Singing, Musical instrument, Sampler",Unity and celebration of Africa,World Cup,"English, Spanish",2010,"Football fans, global listeners",63.20224719,"A vibrant anthem celebrating Africa and the spirit of the World Cup, blending catchy rhythms with themes of unity and pride.",https://www.youtube.com/watch?v=pRpeEdMmmQ0
09R8_2nJtjg,Sugar,Maroon 5,Pop music,Feel-good,"Singing, Synthesizer","Nostalgia, Love","Weddings, Celebrations",English,2010s,General,119.68 BPM,"A nostalgic and upbeat pop song that evokes feelings of joy and celebration, often associated with weddings and happy memories.",https://www.youtube.com/watch?v=09R8_2nJtjg
hT_nvWreIhg,Counting Stars,OneRepublic,Pop music,Nostalgic,Acoustic guitar,Chasing dreams and counting moments,Memories and reflection,English,2010s,Young adults and nostalgic listeners,122.2826087 BPM,A timeless pop song that evokes nostalgia and reflects on the importance of experiences over material wealth.,https://www.youtube.com/watch?v=hT_nvWreIhg
