youtube_title,youtube_url
【我的少女時代 Our Times】Movie Theme Song - 田馥甄 Hebe Tien《小幸運 A Little Happiness》Official MV,https://www.youtube.com/watch?v=_sQSXwdtxlY
于文文《體面》動態歌詞版  【前任3:再見前任 插曲】,https://www.youtube.com/watch?v=sg_WE0ToJjM
周杰倫 Jay Chou (特別演出: 派偉俊)【告白氣球 Love Confession】Official MV,https://www.youtube.com/watch?v=bu7nU9Mhpyo
G.E.M.【光年之外 LIGHT YEARS AWAY 】MV (電影《太空潛航者 Passengers》中文主題曲) [HD] 鄧紫棋,https://www.youtube.com/watch?v=T4SimnaiktU
林俊傑 JJ Lin - 可惜沒如果 If Only (華納 Official 高畫質 HD 官方劇情版 MV),https://www.youtube.com/watch?v=vsBf_0gDxSM
Eric周興哲《你，好不好？ How Have You Been?》Official Music Video《遺憾拼圖》片尾曲,https://www.youtube.com/watch?v=wSBXfzgqHtE
Eric周興哲《怎麼了 What's Wrong》Official Music Video - 華劇【你有念大學嗎？】片尾曲,https://www.youtube.com/watch?v=Y2ge3KrdeWs
高爾宣 OSN -【Without You】沒了妳｜Official MV,https://www.youtube.com/watch?v=HQDDlgGy2hg
方文山電影同名主題曲【聽見下雨的聲音】完整MV 演唱:魏如昀 / 詞:方文山 / 曲:周杰倫,https://www.youtube.com/watch?v=F2uX6ByoW7A
陳奕迅 - 讓我留在你身邊(高音質版),https://www.youtube.com/watch?v=bWdawOZ0mDI
Kimberley陳芳語《愛你AINI》Official MV(HD),https://www.youtube.com/watch?v=KGrulNiJ6Uc
林俊傑 JJ Lin – 不為誰而作的歌 Twilight (華納 Official 高畫質 HD 官方完整版 MV),https://www.youtube.com/watch?v=gd38-X3HpbM
黃明志【漂向北方】 Ft. 王力宏,https://www.youtube.com/watch?v=qIF8xvSA0Gw
李玉刚 - 刚好遇见你,https://www.youtube.com/watch?v=aa2AhDaK_iY
Wanting 曲婉婷 - 我的歌声里 (You Exist In My Song) [Trad. Chinese] [Official Music Video],https://www.youtube.com/watch?v=w0dMz8RBG7g
MP魔幻力量 [ 我還是愛著你 I still love you ] Official Music Video - 三立華劇「幸福兌換券」片尾曲,https://www.youtube.com/watch?v=Oc_VUUE9MHo
周杰倫Jay Chou X aMEI【不該 Shouldn't Be】Official MV,https://www.youtube.com/watch?v=_VxLOj3TB5k
林俊傑 JJ Lin - 修煉愛情 Practice Love (華納official 高畫質HD官方完整版MV),https://www.youtube.com/watch?v=LWV-f6dMN3Q
JiaJia家家 [ 家家酒Playhouse ] Official Music Video - 三立華劇「極品絕配」片尾曲,https://www.youtube.com/watch?v=T-Xk_xirUlo
G.E.M. - 泡沫,https://www.youtube.com/watch?v=GHXr4bBxHCo
Mayday五月天 [ 我不願讓你一個人I Won't Let You Be Lonely ] Official Music Video - 末日版,https://www.youtube.com/watch?v=38lcQsEMGrk
八三夭 831【想見你想見你想見你 Miss You 3000】電視劇「想見你상견니」片尾曲 Official Music Video,https://www.youtube.com/watch?v=4iRupuNet3Q
Eric周興哲《以後別做朋友 The Distance of Love》Official Music Video,https://www.youtube.com/watch?v=Ew4VvF0DPMc
G.E.M.【倒數 TIK TOK】Official MV [HD] 鄧紫棋,https://www.youtube.com/watch?v=ma7r2HGqwXs
'九澤CP' 陳零九 Nine Chen 邱鋒澤 FENG ZE【天黑請閉眼 Werewolves】Official Music Video,https://www.youtube.com/watch?v=VaAacrLk4gE
傅又宣 Maggie Fu - 愛．這件事情 This Thing Called Love (Official MV),https://www.youtube.com/watch?v=EQOVBqFnTbE
陳雪凝 - 綠色『說不痛苦那是假的，畢竟我的心也是肉做的。』【動態歌詞Lyrics】,https://www.youtube.com/watch?v=WY6nQK7zbsk
李榮浩 Ronghao Li - 喜劇之王 King of Comedy (Official 高畫質 HD 官方完整版 MV),https://www.youtube.com/watch?v=ijLLmE_sFkY
Mayday五月天[傷心的人別聽慢歌(貫徹快樂)]MV官方完整版-諾亞方舟3D電影主題曲,https://www.youtube.com/watch?v=xWTiOqJqkk0
梁文音Wen Yin Liang – 分手後不要做朋友 (Lyric Video),https://www.youtube.com/watch?v=PMsV6D5HJWs
謝和弦 R-chord – 謝謝妳愛我 Thanks for your love [Official 高畫質 HD 官方完整版 MV],https://www.youtube.com/watch?v=edTQsoNcADA
G.E.M.【多遠都要在一起 LONG DISTANCE】Official MV [HD] 鄧紫棋,https://www.youtube.com/watch?v=D9ksLn6hZ7Q
李榮浩 Ronghao Li - 年少有為 If I Were Young (華納 Official HD 官方MV),https://www.youtube.com/watch?v=Dnj5Tcpev0Q
[avex官方HD] A-Lin 幸福了 然後呢 (MV完整版),https://www.youtube.com/watch?v=m9eoYjo5W8c
周湯豪 NICKTHEREAL《帥到分手》Official Music Video [飛魚高校生 片頭曲],https://www.youtube.com/watch?v=29tEEaTN_Sc
兄弟本色 G.U.T.S【FLY OUT】Official Music Video,https://www.youtube.com/watch?v=-sM8SynMM5I
Mayday五月天[步步Step by Step]MV官方高音質HD版-電視劇「步步驚情」主題曲,https://www.youtube.com/watch?v=97axrS3Npxk
《等一個人咖啡》電影主題曲＿哈林庾澄慶【缺口】官方MV,https://www.youtube.com/watch?v=hjXrL7CuAvc
JC - 說散就散 Lyrics Video,https://www.youtube.com/watch?v=zOEISgh7k_g
謝和弦 R-chord – 愛不需要裝乖 Love Doesn't Need To Pretend feat. 王詩安 Diana(華納 Official 高畫質 HD 官方完整版 MV),https://www.youtube.com/watch?v=QOjR0s2Wk30
Mayday五月天 [ 後來的我們 ],https://www.youtube.com/watch?v=pd3eV-SG23E
Della丁噹【手掌心】MV官方版-中視古裝大戲[蘭陵王]片尾曲,https://www.youtube.com/watch?v=7wvNwOPprBE
aMEI張惠妹 [ Full Name 連名帶姓 ] Official Music Video,https://www.youtube.com/watch?v=qf09H2xFq2s
邱振哲PikA 【 太陽 】 Official Music Video（官方MV）,https://www.youtube.com/watch?v=7vlVjfMl_Nk
胡夏 Xia Hu - Those Bygone Years 那些年,https://www.youtube.com/watch?v=KqjgLbKZ1h0
高爾宣 OSN -【Why You Gonna Lie】｜Official MV,https://www.youtube.com/watch?v=nEpF6ISYdM0
周杰倫 Jay Chou【等你下課 Waiting For You  (with 楊瑞代 Gary)】歌詞版Lyrics MV,https://www.youtube.com/watch?v=kfXdP7nZIiE
韋禮安 Weibird Wei - 別說沒愛過 Dont' Say (官方版MV),https://www.youtube.com/watch?v=Eip1p8H0YII
MAYDAY五月天 [ 派對動物Party Animal ] Official Music Video,https://www.youtube.com/watch?v=Fn7NLWHJw4s
阿冗 - 與我無關【動態歌詞】「望眼欲穿 等不到你的晚安」♪,https://www.youtube.com/watch?v=8tuzFSXeKI0
李千娜 Nana Lee – 不曾回來過 (「通靈少女」插曲 / Official Music Video),https://www.youtube.com/watch?v=bpJko9n8KTY
Mayday五月天【星空】MV官方完整版-電影「星空」主題曲,https://www.youtube.com/watch?v=RTUwaCImChM
Eric周興哲《如果雨之後 The Chaos After You》Official Music Video,https://www.youtube.com/watch?v=gdGdO6KjF1I
郁可唯 Yisa Yu【微加幸福】台視、三立華劇「小資女孩向前衝」片尾曲 Official Music Video,https://www.youtube.com/watch?v=wgwIfD9Ihik
李佳薇 煎熬 完整版音檔 -華納official HQ官方版音檔,https://www.youtube.com/watch?v=L_GJWjwh3Dc
梁靜茹 Fish Leong – 愛久見人心 (Official Music Video),https://www.youtube.com/watch?v=RkQy3NlG1eo
周杰倫 Jay Chou【算什麼男人 What Kind of Man】Official MV (ft. 林依晨),https://www.youtube.com/watch?v=v489sYYjtHI
盧廣仲 Crowd Lu【魚仔 He-R】Official Music Video （花甲男孩轉大人主題曲）,https://www.youtube.com/watch?v=ybfWYpYhTQQ
HEBE TIEN 田馥甄 [你就不要想起我 You Better Not Think About Me] Official MV HD,https://www.youtube.com/watch?v=GsKbnsUN2RE
李毓芬Tia Lee《是我不夠好Not Good Enough》Official Music Video HD,https://www.youtube.com/watch?v=BsvIwqyiaJw
高爾宣 OSN -【最後一次】The Last Time｜Official MV,https://www.youtube.com/watch?v=4NKw3TfaKCw
周杰倫 Jay Chou【明明就 Ming Ming Jiu】Official MV,https://www.youtube.com/watch?v=UBySINroNkw
Yen-j嚴爵【好的事情 Good Things 】MV官方完整版-三立戲劇[醉後決定愛上你]片尾曲,https://www.youtube.com/watch?v=oVkAseYw_wo
A-Lin《有一種悲傷 A Kind of Sorrow》Official Music Video - 電影『比悲傷更悲傷的故事 More Than Blue 』主題曲,https://www.youtube.com/watch?v=BRcudpJzy1I
陳雪凝 - 你的酒館對我打了烊【動態歌詞Lyrics】,https://www.youtube.com/watch?v=ynaARgs_yvQ
李佳薇 Jess Lee 『像天堂的懸崖』Cliff to the Heaven 窒愛版MV (華納official 高畫質HD官方完整版MV),https://www.youtube.com/watch?v=DgK0iOwJCa8
阿冗 - 你的答案『也許我只能沉默，眼淚濕潤眼眶可又不甘懦弱。』【動態歌詞Lyrics】,https://www.youtube.com/watch?v=ye4jAQ0uxcQ
陳勢安 Andrew Tan + 畢書盡 Bii - 勢在必行 (官方版MV),https://www.youtube.com/watch?v=BhHdmugCPjo
G.E.M.鄧紫棋【句號 Full Stop】Official Music Video,https://www.youtube.com/watch?v=7XlqcS6B7WA
盧廣仲 Crowd Lu 【幾分之幾 You Complete Me】 Official Music Video （花甲大人轉男孩電影主題曲）,https://www.youtube.com/watch?v=HQ_mU73VhEQ
Richie Jen任賢齊【對摺】MV官方完整版,https://www.youtube.com/watch?v=VZik4B5LhrM
亦帆Canace 砍掉重練【淚崩了】(後宮-甄嬛傳片尾曲) 官方Official MV,https://www.youtube.com/watch?v=rnyibOOBw1k
蕭煌奇 末班車完整版MV-華納official HQ官方版MV,https://www.youtube.com/watch?v=bDZ2pcn_V4c
玖壹壹(Nine one one)-下輩子 官方MV首播,https://www.youtube.com/watch?v=f2u9F-IT9wY
en - 囂張『你的一字一句猶如刀疤劃心上，我的一舉一動隨你改變多荒唐。』【動態歌詞Lyrics】,https://www.youtube.com/watch?v=oAUmNEUJlJ0
UNDER LOVER - 癡情玫瑰花 ft 玖壹壹 春風 (官方Music video),https://www.youtube.com/watch?v=lKe0k2pF9pc
玖壹壹(Nine one one)-嘻哈庄腳情 官方MV首播,https://www.youtube.com/watch?v=JvkqZrYJUe8
關喆 Grady - 想你的夜 (未眠版) Miss You Tonight (Official 高畫質 HD 官方完整版 MV),https://www.youtube.com/watch?v=j3AW1uKj2aE
曾沛慈 - 一個人想著一個人 [終極一班2 電視原聲帶] (Official HD 完整版 MV),https://www.youtube.com/watch?v=olODk6jhMhM
韋禮安-還是會(我可能不會愛你OST)-官方完整版MV,https://www.youtube.com/watch?v=9dK9Krc4QNo
蔡依林 Jolin Tsai - 第三人稱 The Third Person And I (華納official 高畫質HD官方完整版MV),https://www.youtube.com/watch?v=2BrzK4fZ45k
林宥嘉 Yoga Lin [ 兜圈 Detour ] Official Music Video (偶像劇｢必娶女人｣片尾曲),https://www.youtube.com/watch?v=Mqr-kjvXsk8
閻奕格 Janice Yan [ 也可以 Might as well ] Official Music Video (電影「追婚日記」插曲),https://www.youtube.com/watch?v=lN-GUBIMDNA
李榮浩 - 模特 Music Video,https://www.youtube.com/watch?v=7LBUcOVmD6A
Della丁噹【不是你的錯Not Your Fault】MV官方完整版-三立[真愛找麻煩]插曲,https://www.youtube.com/watch?v=CqlnZuXQpy8
玖壹壹(洋蔥)-癡情的男子漢  ft  UnderLover(睿兒),https://www.youtube.com/watch?v=UdnSKw0wI8I
MP魔幻力量 [ 偷偷的 Secretly ] Official Music Video - 三立華劇「幸福兌換券」插曲,https://www.youtube.com/watch?v=rBCmeVLHrZ4
林俊傑 JJ Lin - 學不會 Never Learn (官方完整 HD 高畫質版 MV),https://www.youtube.com/watch?v=27R6ZavdzzQ
JiaJia家家【填空】-三立九點華劇「真愛趁現在」插曲,https://www.youtube.com/watch?v=9Y15es8OY0U
Yen-j嚴爵【暫時的男朋友Temporary BF】MV官方完整版,https://www.youtube.com/watch?v=88m2XdyGXRY
李榮浩_李白_完整版MV by Music Go!(合法音樂App),https://www.youtube.com/watch?v=1II_6o7uv1g
玖壹壹(Nine one one)-9453 (官方MV首播),https://www.youtube.com/watch?v=6P8_hBRYxjw
朱俐靜 Miu Chu - 一千萬次的淚水 Ten Million Times Tears (官方版MV) - 三立偶像劇『真愛黑白配』插曲,https://www.youtube.com/watch?v=VWUbtdKKiSQ
謝和弦 R-chord – 在沒有你以後 Without you Feat. 張智成 Z-Chen (華納 Official 官方完整版 MV),https://www.youtube.com/watch?v=at6EJZbYv8k
郁可唯 Yisa Yu【指望】台視、三立偶像劇「犀利人妻」插曲 Official Music Video,https://www.youtube.com/watch?v=04VXfavbeDs
G.E.M.【來自天堂的魔鬼 AWAY】Official MV [HD] 鄧紫棋,https://www.youtube.com/watch?v=FWtbGkpdoP4
玖壹壹(Nine one one) - 來個蹦蹦‭ ‬Ft‭. ‬Ella‭ ‬陳嘉樺 Like Boom Boom Ft. Ella 官方MV首播,https://www.youtube.com/watch?v=R2V9sHAlLuQ
蘇打綠 sodagreen - 【我好想你】「小時代」電影主題曲MV,https://www.youtube.com/watch?v=P_pyfLArjQg
蔡依林 Jolin Tsai《怪美的 UGLY BEAUTY》Official Music Video,https://www.youtube.com/watch?v=-wIHmPAvMBo
